question,answer,tags
Obesity,"A complex disease involving an excessive amount of body fat; classified by a body mass index of 30 or greater.","cpt|chapter 1"
Kinesiology,"Study of movement as it relates to anatomy and physiology.","cpt|chapter 1"
Evidence-based practice,"A practice that relies on evidence for guidance and decision-making and includes developing individual expertise, staying current on the best sources of external evidence (e.g., peer-reviewed research), and prioritizing client values and expectations.","cpt|chapter 1"
Musculoskeletal system,"The combined, interworking system of all muscles and bones in the body.","cpt|chapter 1"
Deconditioned,"A state of lost physical fitness, which may include muscle imbalances, decreased flexibility, and a lack of core and joint stability.","cpt|chapter 1"
Overweight,"A body weight greater than what is considered within normal standards; a body mass index of 25.0 to 29.9.","cpt|chapter 1"
Muscle imbalance,"When muscles on each side of a joint have altered length-tension relationships.","cpt|chapter 1"
Joint stability,"The support provided by tissues surrounding a joint to maintain and provide control during movement.","cpt|chapter 1"
Socioeconomic status,"The social standing of a person or group that includes education, income, and occupation.","cpt|chapter 1"
Morbidity,"The state of having a disease.","cpt|chapter 1"
Mortality,"A state or a risk of death or dying.","cpt|chapter 1"
Homeostasis,"The process by which the human body strives to maintain a relatively stable equilibrium.","cpt|chapter 1"
Risk factor,"Any attribute, characteristic, or exposure of an individual that increases the likelihood of developing a disease or injury.","cpt|chapter 1"
Cholesterol,"A waxy, fatlike substance found in bodily cells.","cpt|chapter 1"
Stroke,"A sudden lack of blood supply to the brain, caused by either a blockage in an artery or ruptured blood vessel.","cpt|chapter 1"
Heart attack,"The action that occurs when an artery supplying the heart with blood and oxygen becomes blocked; medically known as a myocardial infarction.","cpt|chapter 1"
Heart failure,"A condition in which the heart can’t pump enough blood to meet the body’s needs.","cpt|chapter 1"
Heart valve problem,"A condition that occurs when one or more heart valves do not function properly, causing shortness of breath and reduced oxygen supply to the body.","cpt|chapter 1"
Arrhythmia,"A problem with the rate or rhythm of a person’s heartbeat. The heart beats too quickly, too slowly, or with an irregular pattern.","cpt|chapter 1"
Ischemic heart disease,"A category of heart-related problems caused by the narrowing of coronary arteries, which supply blood and oxygen to the heart muscle.","cpt|chapter 1"
Atherosclerosis,"The processes by which plaque is formed in arteries leading to reduced blood flow.","cpt|chapter 1"
Physical activity,"Bodily movement that results in energy expenditure and encompasses many modes and intensities. Movement that is not structured exercise such as recreational pursuits (e.g., golfing, gardening, and walking a dog).","cpt|chapter 1"
Hypertension,"Consistently elevated blood pressure.","cpt|chapter 1"
Systolic blood pressure (SBP),"The pressure in arteries and other blood vessels when the heart is contracting; the first (top) number recorded.","cpt|chapter 1"
Diastolic blood pressure (DBP),"The pressure in arteries and other blood vessels when heart is at rest or between beats; the second (bottom) number recorded.","cpt|chapter 1"
Diabetes,"Chronic metabolic disorder, caused by insulin deficiency, which impairs carbohydrate usage and enhances usage of fat and protein.","cpt|chapter 1"
Glucose,"The simplest form of carbohydrate used by the body for energy.","cpt|chapter 1"
Insulin resistance,"The inability of the cells to respond to insulin; occurs in type 2 diabetes.","cpt|chapter 1"
Cancer,"A group of diseases involving abnormal cell growth with the potential to invade or spread to other parts of the body.","cpt|chapter 1"
Chronic obstructive pulmonary disease (COPD),"A general term used to describe progressive lung diseases, including emphysema, chronic bronchitis, and refractory (nonreversible) asthma.","cpt|chapter 1"
Endorphins,"A group of hormones secreted by the brain that provides a variety of physiological functions, such as reducing the perception of pain.","cpt|chapter 1"
Skeletal muscle,"The type of muscle tissue that connects to bones and generates the forces that create movement.","cpt|chapter 1"
Sprain,"A stretching or tearing of ligaments.","cpt|chapter 1"
Plantar fasciitis,"An inflammation of the fibrous tissue (plantar fascia) along the bottom of the foot, which often results in intense heel pain.","cpt|chapter 1"
Patellar tendonitis,"An injury or inflammation of the tendon that connects the patella (kneecap) to the tibia (shin bone).","cpt|chapter 1"
Anterior cruciate ligament (ACL) tear,"A stretch, partial tear, or complete tear of the anterior cruciate ligament of the knee.","cpt|chapter 1"
Medial collateral ligament (MCL) tear,"A stretch, partial tear, or complete tear of the medial collateral ligament of the knee.","cpt|chapter 1"
Shoulder impingement syndrome,"Shoulder pain caused by rotator cuff tissues rubbing against the acromion bone of the shoulder.","cpt|chapter 1"
