question,answer,tags
Nutrition,"A process of obtaining nutrients through food and/or food products to support energy requirements and cellular processes, including growth, repair and maintenance of tissues, reproduction, digestive processes, and respiration.","cpt|chapter 9"
CDN,"Certified Dietitian Nutritionist: state certified dietitian/nutritionist.","cpt|chapter 9"
Scope of practice,"The actions that a professional is permitted to undertake in keeping with the terms of their license or certification.","cpt|chapter 9"
Nutrition claim,"Claim that a food has a specific nutritional property or provides a specific benefit.","cpt|chapter 9"
Macronutrients,"Food substances required in large amounts to supply energy; include protein, carbohydrate, and fat.","cpt|chapter 9"
Micronutrients,"Vitamins, minerals, and phytonutrients. These are nonenergy yielding nutrients that have important regulatory functions in metabolic pathways.","cpt|chapter 9"
Vitamins,"Group of organic compounds required in small quantities in the diet to support growth and metabolic processes.","cpt|chapter 9"
Minerals,"Inorganic, natural substances, some of which are essential in human nutrition. There are two kinds of minerals: major minerals (aka, macrominerals) and trace minerals.","cpt|chapter 9"
Protein,"Amino acids linked by peptide bonds; the building blocks of body tissues.","cpt|chapter 9"
Amino acids,"Organic building blocks of proteins containing both a carboxyl and an amino group.","cpt|chapter 9"
Peptide bond,"A chemical bond that connects two amino acids.","cpt|chapter 9"
Essential amino acid (EAA),"Amino acid that must be obtained through the diet as the body does not make it; there are nine essential amino acids.","cpt|chapter 9"
Substrates,"Intermediate forms of nutrients used in metabolic reactions to create adenosine triphosphate.","cpt|chapter 9"
Protein turnover,"A process in which the body breaks down existing proteins and recycles the component amino acids for incorporation into new proteins or other nitrogen-containing compounds.","cpt|chapter 9"
Complete protein,"A protein source that provides all essential amino acids.","cpt|chapter 9"
Incomplete protein,"A protein that lacks one or more of the amino acids required to build cells.","cpt|chapter 9"
Omnivorous diet,"A diet that consists of both animals and plants.","cpt|chapter 9"
Mutual supplementation,"Combination of two incomplete protein sources that together provide all of the essential amino acids.","cpt|chapter 9"
Protein quality,"Refers to the amino acid profile and the digestibility of a protein source.","cpt|chapter 9"
Low biological value (LBV) proteins,"Foods missing one or more of the essential amino acids.","cpt|chapter 9"
High biological value (HBV) proteins,"Foods containing all the essential amino acids.","cpt|chapter 9"
Protein efficiency ratio (PER),"A measure of assessing proteins, based on the amount of weight gained by a test subject divided by the amount of intake of a protein food.","cpt|chapter 9"
Biological value (BV),"A reference amount used to describe the extent to which the amino acids in a protein source are absorbed.","cpt|chapter 9"
Protein digestibility– corrected amino acid score (PDCAAS),"A measure for evaluating a protein source based on the composition of amino acids and its digestibility.","cpt|chapter 9"
Net protein utilization (NPU),"The ratio of amino acid mass turned into proteins compared to the total amino acid mass consumed in the diet.","cpt|chapter 9"
Enterocyte,"Intestinal cells that absorb nutrients.","cpt|chapter 9"
Gluconeogenesis,"The formation of glucose from noncarbohydrate sources (proteins and fats).","cpt|chapter 9"
Recommended dietary allowance (RDA),"The recommended amount of a nutrient that meets the needs of most healthy individuals within specific age and gender groups.","cpt|chapter 9"
Negative energy balance,"When calorie intake is lower than the number of calories expended.","cpt|chapter 9"
Acceptable macronutrient distribution range (AMDR),"Ranges of intake for nutrients that are estimated to meet the needs of 97–98% of the population and that are associated with a reduced risk of chronic disease. AMDRs are established by the National Academy of Medicine.Aerobic,"Processes relating to, involving, or requiring oxygen.","cpt|chapter 9"
Anaerobic,"Processes relating to the absence of oxygen","cpt|chapter 9"
Thermic effect of food (TEF),"The energy required to digest, absorb, and process nutrients that are consumed.","cpt|chapter 9"
Carbohydrates,"Compounds composed of carbon, hydrogen, and oxygen molecules that include simple sugars, complex carbohydrates, glycogen, and fiber.","cpt|chapter 9"
Simple sugars,"Include the monosaccharides and disaccharides; easily absorbed into the bloodstream.","cpt|chapter 9"
Monosaccharides,"Simplest form of carbohydrate; single sugar molecules (e.g., glucose).","cpt|chapter 9"
Disaccharides,"Two monosaccharides joined together to form a simple sugar. The three disaccharides of nutritional importance include lactose, sucrose, and maltose.","cpt|chapter 9"
Polysaccharides,"A type of carbohydrate composed of long chains of glucose units; starch and glycogen are examples of polysaccharides.","cpt|chapter 9"
Starch,"Storage form of carbohydrate in plants.","cpt|chapter 9"
Glycogen,"Glucose that is deposited and stored in bodily tissues, such as the liver and muscle cells; the storage form of carbohydrate.","cpt|chapter 9"
Fiber,"An indigestible carbohydrate present in plant foods, such as fruit, vegetables, and legumes.","cpt|chapter 9"
Adipose tissue,"An alternative term for fat, used primarily to store energy.","cpt|chapter 9"
Complex carbohydrates,"Polysaccharides; long chains of simple sugars. Examples include whole grains, legumes, and vegetables.","cpt|chapter 9"
Glycemic index (GI),"Number (0–100) assigned to a food source that represents the rise in blood sugar after consuming the food.","cpt|chapter 9"
Glycemic load (GL),"Similar to glycemic index but takes into account the amount of food (carbohydrate) eaten.","cpt|chapter 9"
Muscle protein synthesis,"Process by which new muscle proteins are formed and a muscle grows or repairs at the molecular level.","cpt|chapter 9"
Lipids,"Group of fats/fatty acids and their derivatives, including triglycerides, phospholipids, and sterols.","cpt|chapter 9"
Triglycerides,"The chemical or substrate form in which most fat exists in food as well as in the body.","cpt|chapter 9"
Phospholipids,"Type of lipid (fat) comprised of glycerol, two fatty acid chains, and a phosphate group.","cpt|chapter 9"
Sterols,"A group of lipids with a ringlike structure. Cholesterol is a type of sterol.","cpt|chapter 9"
Unsaturated fats,"Fatty acids with one or more points of unsaturation (double bond) in their chemical structure.","cpt|chapter 9"
Saturated fat,"A type of triglyceride; chemical structure has no double bonds (points of unsaturation); usually solid at room temperature. Examples: butter, lard, whole milk, beef, processed meats, and tropical oils.","cpt|chapter 9"
Pancreatic enzymes,"Digestive enzymes produced by the body to help digest fats, starches, and proteins.","cpt|chapter 9"
Lingual lipase,"An enzyme in saliva that begins the process of lipid digestion in the mouth.","cpt|chapter 9"
Lipase,"Enzyme that digests lipids.","cpt|chapter 9"
Chylomicrons,"Molecules of fat that contain triglycerides, phospholipids, cholesterol, fat-soluble vitamins, and protein. They are formed by intestinal cells after the digestion of lipid-containing foods.","cpt|chapter 9"
Lipoprotein,"A group of soluble proteins that combine with and transport fat or other lipids in the blood plasma.","cpt|chapter 9"
Lipoprotein lipase (LPL),"An enzyme that breaks down triglycerides into fatty acids.","cpt|chapter 9"
Metabolites,"The formation of a substance required for metabolism.","cpt|chapter 9"
Metabolism,"All of the chemical reactions that occur in the body to maintain itself.","cpt|chapter 9"
Major minerals,"Minerals present in the body in larger amounts.","cpt|chapter 9"
Trace minerals,"Minerals present in small amounts in the body. They include iron, zinc, copper, selenium, iodine, manganese, chromium, fluoride, and molybdenum.","cpt|chapter 9"
Heat exhaustion,"A condition that occurs when the body becomes overheated. It can occur from dehydration in a hot climate, and symptoms include heavy sweating, rapid pulse, low blood pressure, nausea, dizziness, and muscle cramps.","cpt|chapter 9"
Heatstroke,"A condition that can develop if heat exhaustion is not treated quickly. Heatstroke symptoms include headache, fever, confusion and disorientation, and flushed skin. Heatstroke is a medical emergency and can be fatal if not quickly treated.","cpt|chapter 9"
