question,answer,tags
Gall bladder,"An organ found below the liver, on the right side of the body, that receives bile from the liver and secretes it into the duodenum.","cpt|chapter 6|vocab|section 3"
Liver,"An organ in the upper-right abdominal cavity with numerous functions, including the production and secretion of bile, which is stored and concentrated in the gall bladder prior to release into the duodenum.","cpt|chapter 6|vocab|section 3"
Motility,"In the digestive system, refers to movements of the anatomical structures that allow contents to pass through.","cpt|chapter 6|vocab|section 3"
Mastication,"The mechanical process whereby the oral muscles break down food.","cpt|chapter 6|vocab|section 3"
Peristalsis,"The muscle action of the gastrointestinal system that pushes food through the body during digestion.","cpt|chapter 6|vocab|section 3"
Digestion,"Multistep process that describes the passage of food through the body.","cpt|chapter 6|vocab|section 3"
Absorption,"The process of nutrients being absorbed into the body during the digestive process.","cpt|chapter 6|vocab|section 3"
Esophagus,"The anatomical part of the digestive tract that allows food to pass from oral cavity to stomach.","cpt|chapter 6|vocab|section 3"
Ingestion,"The act of taking food, liquid, or other substances into the body in preparation for digestion.","cpt|chapter 6|vocab|section 3"
Chyme,"A semifluid mass of digested food that is passed from the stomach to the small intestine.","cpt|chapter 6|vocab|section 3"
Duodenum,"Part of the small intestine that resides between the stomach and the jejunum.","cpt|chapter 6|vocab|section 3"
Jejunum,"Part of the small intestine that resides between the duodenum and the ileum.","cpt|chapter 6|vocab|section 3"
Ileum,"The final section of the small intestine, located between the jejunum and the cecum and leads to the large intestine.","cpt|chapter 6|vocab|section 3"
Lipolysis,"The breakdown and utilization of fat for energy.","cpt|chapter 6|vocab|section 3"
Enzyme,"A substance in the body that causes a specific reaction or change.","cpt|chapter 6|vocab|section 3"
Glands,"Cells that release substances into the bloodstream (such as hormones) or other surface of the body.","cpt|chapter 6|vocab|section 3"
Hormone,"Chemical messenger released from a gland that travels to cells to activate a specific function.","cpt|chapter 6|vocab|section 3"
Target (receptor) cell,"Cell that receives a message from a hormone or enzyme. Target cells exert an action after being stimulated or activated.","cpt|chapter 6|vocab|section 3"
Hypothalamus,"A gland located in the brain that communicates with the pituitary gland.","cpt|chapter 6|vocab|section 3"
Pineal gland,"A small gland in the brain that secretes the hormone melatonin, which helps regulate sleep cycles.","cpt|chapter 6|vocab|section 3"
Pancreas,"An organ with numerous functions, including the production of insulin, glucagon, and digestive juices.","cpt|chapter 6|vocab|section 3"
Thyroid gland,"An endocrine gland, located in the anterior neck, responsible for the secretion of many hormones, including thyroxin and calcitonin.","cpt|chapter 6|vocab|section 3"
Pituitary gland,"An endocrine gland that controls the secretion of many hormones, including growth hormone.","cpt|chapter 6|vocab|section 3"
Adrenal gland,"A gland, located just above the kidneys, responsible for the secretion of catecholamines and cortisol.","cpt|chapter 6|vocab|section 3"
Reproductive glands,"Glands, such as the ovaries or testes, that serve sex-specific functions.","cpt|chapter 6|vocab|section 3"
